,bio_func_names
921,UV-damage excision repair
922,Wnt signaling pathway
923,"Wnt signaling pathway, calcium modulating pathway"
924,"Wnt signaling pathway, planar cell polarity pathway"
925,acrosome assembly
926,acrosome reaction
927,actin cytoskeleton organization
928,actin cytoskeleton reorganization
929,actin filament bundle assembly
930,actin filament capping
931,actin filament depolymerization
932,actin filament organization
933,actin filament polymerization
934,actin filament-based movement
935,actin nucleation
936,actin polymerization or depolymerization
937,action potential
938,activation of GTPase activity
939,activation of JUN kinase activity
940,activation of MAPK activity
941,activation of MAPKK activity
942,activation of NF-kappaB-inducing kinase activity
943,activation of adenylate cyclase activity
944,activation of cysteine-type endopeptidase activity
945,activation of cysteine-type endopeptidase activity involved in apoptotic process
946,activation of innate immune response
947,activation of phospholipase C activity
948,activation of protein kinase B activity
949,activation of protein kinase activity
950,activin receptor signaling pathway
951,actomyosin structure organization
952,acute inflammatory response
953,acute-phase response
954,acyl-CoA metabolic process
955,adaptive immune response
956,adenylate cyclase-activating G protein-coupled receptor signaling pathway
957,adenylate cyclase-activating adrenergic receptor signaling pathway
958,adenylate cyclase-activating dopamine receptor signaling pathway
959,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway
960,adenylate cyclase-inhibiting dopamine receptor signaling pathway
961,adenylate cyclase-modulating G protein-coupled receptor signaling pathway
962,adherens junction organization
963,adipose tissue development
964,adrenal gland development
965,adult behavior
966,adult feeding behavior
967,adult heart development
968,adult locomotory behavior
969,adult walking behavior
970,aerobic respiration
971,aging
972,alpha-linolenic acid metabolic process
973,"alternative mRNA splicing, via spliceosome"
974,amelogenesis
975,amino acid transmembrane transport
976,amino acid transport
977,amyloid fibril formation
978,amyloid precursor protein metabolic process
979,amyloid-beta clearance
980,amyloid-beta metabolic process
981,anaphase-promoting complex-dependent catabolic process
982,anatomical structure development
983,anatomical structure morphogenesis
984,androgen biosynthetic process
985,androgen metabolic process
986,androgen receptor signaling pathway
987,angiogenesis
988,angiogenesis involved in wound healing
989,angiotensin maturation
990,animal organ morphogenesis
991,animal organ regeneration
992,anion transport
993,anoikis
994,anterior/posterior axis specification
995,anterior/posterior pattern specification
996,anterograde axonal transport
997,anterograde synaptic vesicle transport
998,antibacterial humoral response
999,antifungal humoral response
1000,antigen processing and presentation
1001,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"
1002,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent"
1003,antigen processing and presentation of exogenous peptide antigen via MHC class II
1004,antigen processing and presentation of peptide antigen via MHC class I
1005,antimicrobial humoral immune response mediated by antimicrobial peptide
1006,antimicrobial humoral response
1007,aorta development
1008,aorta morphogenesis
1009,aortic valve morphogenesis
1010,apical protein localization
1011,apoptotic DNA fragmentation
1012,apoptotic cell clearance
1013,apoptotic mitochondrial changes
1014,apoptotic process
1015,apoptotic signaling pathway
1016,arachidonic acid metabolic process
1017,arachidonic acid secretion
1018,artery morphogenesis
1019,associative learning
1020,astrocyte activation
1021,astrocyte development
1022,atrial septum morphogenesis
1023,atrioventricular valve morphogenesis
1024,attachment of mitotic spindle microtubules to kinetochore
1025,auditory receptor cell stereocilium organization
1026,autophagosome assembly
1027,autophagosome maturation
1028,autophagy
1029,autophagy of mitochondrion
1030,axon development
1031,axon extension
1032,axon guidance
1033,axon regeneration
1034,axonal fasciculation
1035,axonemal dynein complex assembly
1036,axoneme assembly
1037,axonogenesis
1038,barbed-end actin filament capping
1039,base-excision repair
1040,basement membrane organization
1041,behavioral fear response
1042,behavioral response to cocaine
1043,behavioral response to pain
1044,beta-catenin destruction complex disassembly
1045,beta-catenin-TCF complex assembly
1046,bicarbonate transport
1047,bicellular tight junction assembly
1048,bile acid and bile salt transport
1049,bile acid biosynthetic process
1050,bile acid metabolic process
1051,binding of sperm to zona pellucida
1052,biomineral tissue development
1053,biosynthetic process
1054,blastocyst development
1055,blastocyst formation
1056,blastocyst hatching
1057,bleb assembly
1058,blood circulation
1059,blood coagulation
1060,"blood coagulation, intrinsic pathway"
1061,blood vessel development
1062,blood vessel morphogenesis
1063,blood vessel remodeling
1064,bone development
1065,bone mineralization
1066,bone morphogenesis
1067,bone remodeling
1068,bone resorption
1069,brain development
1070,brain morphogenesis
1071,branched-chain amino acid catabolic process
1072,branching involved in blood vessel morphogenesis
1073,branching involved in mammary gland duct morphogenesis
1074,branching involved in salivary gland morphogenesis
1075,branching involved in ureteric bud morphogenesis
1076,branching morphogenesis of an epithelial tube
1077,brown fat cell differentiation
1078,cAMP biosynthetic process
1079,cAMP-mediated signaling
1080,cGMP biosynthetic process
1081,cGMP-mediated signaling
1082,calcineurin-NFAT signaling cascade
1083,calcium import into the mitochondrion
1084,calcium ion homeostasis
1085,calcium ion import
1086,calcium ion regulated exocytosis
1087,calcium ion transmembrane transport
1088,calcium ion transport
1089,calcium ion transport into cytosol
1090,calcium ion-regulated exocytosis of neurotransmitter
1091,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
1092,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
1093,calcium-mediated signaling
1094,calcium-mediated signaling using intracellular calcium source
1095,camera-type eye development
1096,camera-type eye morphogenesis
1097,canonical Wnt signaling pathway
1098,canonical glycolysis
1099,carbohydrate metabolic process
1100,carbohydrate transport
1101,cardiac epithelial to mesenchymal transition
1102,cardiac left ventricle morphogenesis
1103,cardiac muscle cell action potential involved in contraction
1104,cardiac muscle cell differentiation
1105,cardiac muscle cell proliferation
1106,cardiac muscle contraction
1107,cardiac muscle fiber development
1108,cardiac muscle hypertrophy in response to stress
1109,cardiac muscle tissue development
1110,cardiac muscle tissue morphogenesis
1111,cardiac myofibril assembly
1112,cardiac right ventricle morphogenesis
1113,cardiac septum development
1114,cardiac septum morphogenesis
1115,cardiovascular system development
1116,cargo loading into COPII-coated vesicle
1117,cargo loading into vesicle
1118,cartilage condensation
1119,cartilage development
1120,cation transport
1121,cell activation
1122,cell adhesion
1123,cell adhesion mediated by integrin
1124,cell aging
1125,cell chemotaxis
1126,cell communication
1127,cell communication by electrical coupling involved in cardiac conduction
1128,cell cycle
1129,cell cycle arrest
1130,cell death
1131,cell development
1132,cell differentiation
1133,cell division
1134,cell fate commitment
1135,cell fate determination
1136,cell fate specification
1137,cell junction assembly
1138,cell maturation
1139,cell migration
1140,cell migration involved in sprouting angiogenesis
1141,cell morphogenesis
1142,cell motility
1143,cell projection assembly
1144,cell projection organization
1145,cell proliferation
1146,cell proliferation in forebrain
1147,cell recognition
1148,cell redox homeostasis
1149,cell surface receptor signaling pathway
1150,cell volume homeostasis
1151,cell-cell adhesion
1152,cell-cell adhesion mediated by cadherin
1153,cell-cell adhesion via plasma-membrane adhesion molecules
1154,cell-cell junction assembly
1155,cell-cell junction organization
1156,cell-cell signaling
1157,cell-matrix adhesion
1158,cell-substrate adhesion
1159,cellular amino acid biosynthetic process
1160,cellular amino acid metabolic process
1161,cellular calcium ion homeostasis
1162,cellular copper ion homeostasis
1163,cellular defense response
1164,cellular glucose homeostasis
1165,cellular glucuronidation
1166,cellular homeostasis
1167,cellular iron ion homeostasis
1168,cellular lipid metabolic process
1169,cellular oxidant detoxification
1170,cellular potassium ion homeostasis
1171,cellular protein catabolic process
1172,cellular protein localization
1173,cellular protein metabolic process
1174,cellular protein modification process
1175,cellular protein-containing complex assembly
1176,cellular protein-containing complex localization
1177,cellular respiration
1178,cellular response to ATP
1179,cellular response to BMP stimulus
1180,cellular response to DNA damage stimulus
1181,cellular response to UV
1182,cellular response to X-ray
1183,cellular response to amino acid starvation
1184,cellular response to amino acid stimulus
1185,cellular response to amyloid-beta
1186,cellular response to angiotensin
1187,cellular response to cAMP
1188,cellular response to cadmium ion
1189,cellular response to calcium ion
1190,cellular response to chemokine
1191,cellular response to cholesterol
1192,cellular response to copper ion
1193,cellular response to cytokine stimulus
1194,cellular response to dexamethasone stimulus
1195,cellular response to dopamine
1196,cellular response to drug
1197,cellular response to electrical stimulus
1198,cellular response to epidermal growth factor stimulus
1199,cellular response to epinephrine stimulus
1200,cellular response to estradiol stimulus
1201,cellular response to estrogen stimulus
1202,cellular response to ethanol
1203,cellular response to exogenous dsRNA
1204,cellular response to extracellular stimulus
1205,cellular response to fatty acid
1206,cellular response to fibroblast growth factor stimulus
1207,cellular response to fluid shear stress
1208,cellular response to follicle-stimulating hormone stimulus
1209,cellular response to forskolin
1210,cellular response to gamma radiation
1211,cellular response to glucagon stimulus
1212,cellular response to glucocorticoid stimulus
1213,cellular response to glucose starvation
1214,cellular response to glucose stimulus
1215,cellular response to granulocyte macrophage colony-stimulating factor stimulus
1216,cellular response to growth factor stimulus
1217,cellular response to heat
1218,cellular response to hepatocyte growth factor stimulus
1219,cellular response to hormone stimulus
1220,cellular response to hydrogen peroxide
1221,cellular response to hypoxia
1222,cellular response to insulin stimulus
1223,cellular response to interferon-alpha
1224,cellular response to interferon-beta
1225,cellular response to interferon-gamma
1226,cellular response to interleukin-1
1227,cellular response to interleukin-4
1228,cellular response to interleukin-6
1229,cellular response to ionizing radiation
1230,cellular response to leptin stimulus
1231,cellular response to leucine
1232,cellular response to leucine starvation
1233,cellular response to leukemia inhibitory factor
1234,cellular response to light stimulus
1235,cellular response to lipopolysaccharide
1236,cellular response to lipoteichoic acid
1237,cellular response to lithium ion
1238,cellular response to low-density lipoprotein particle stimulus
1239,cellular response to mechanical stimulus
1240,cellular response to nerve growth factor stimulus
1241,cellular response to nitric oxide
1242,cellular response to nitrogen starvation
1243,cellular response to nutrient levels
1244,cellular response to organic cyclic compound
1245,cellular response to organic substance
1246,cellular response to osmotic stress
1247,cellular response to oxidative stress
1248,cellular response to peptide
1249,cellular response to peptide hormone stimulus
1250,cellular response to platelet-derived growth factor stimulus
1251,cellular response to potassium ion
1252,cellular response to prostaglandin E stimulus
1253,cellular response to reactive oxygen species
1254,cellular response to retinoic acid
1255,cellular response to starvation
1256,cellular response to steroid hormone stimulus
1257,cellular response to thyroid hormone stimulus
1258,cellular response to transforming growth factor beta stimulus
1259,cellular response to tumor necrosis factor
1260,cellular response to unfolded protein
1261,cellular response to vascular endothelial growth factor stimulus
1262,cellular response to virus
1263,cellular response to vitamin D
1264,cellular response to zinc ion
1265,cellular senescence
1266,cellular sodium ion homeostasis
1267,cellular zinc ion homeostasis
1268,central nervous system development
1269,central nervous system myelination
1270,central nervous system neuron development
1271,centriole replication
1272,centriole-centriole cohesion
1273,centrosome cycle
1274,centrosome duplication
1275,centrosome localization
1276,ceramide biosynthetic process
1277,ceramide metabolic process
1278,cerebellar Purkinje cell layer development
1279,cerebellum development
1280,cerebral cortex development
1281,cerebral cortex neuron differentiation
1282,chaperone cofactor-dependent protein refolding
1283,chaperone-mediated protein complex assembly
1284,chaperone-mediated protein folding
1285,chemical synaptic transmission
1286,chemokine-mediated signaling pathway
1287,chemotaxis
1288,chloride ion homeostasis
1289,chloride transmembrane transport
1290,chloride transport
1291,cholesterol biosynthetic process
1292,cholesterol catabolic process
1293,cholesterol efflux
1294,cholesterol homeostasis
1295,cholesterol metabolic process
1296,cholesterol transport
1297,chondrocyte development
1298,chondrocyte differentiation
1299,chondrocyte proliferation
1300,chondroitin sulfate biosynthetic process
1301,chondroitin sulfate catabolic process
1302,chromatin organization
1303,chromatin remodeling
1304,chromatin silencing
1305,chromatin silencing at rDNA
1306,chromosome condensation
1307,chromosome organization
1308,chromosome segregation
1309,chylomicron assembly
1310,ciliary basal body-plasma membrane docking
1311,cilium assembly
1312,cilium movement
1313,cilium movement involved in cell motility
1314,cilium organization
1315,cilium-dependent cell motility
1316,circadian regulation of gene expression
1317,circadian rhythm
1318,clathrin coat assembly
1319,clathrin-dependent endocytosis
1320,cobalamin metabolic process
1321,cochlea development
1322,cochlea morphogenesis
1323,coenzyme A biosynthetic process
1324,cofactor metabolic process
1325,cognition
1326,collagen catabolic process
1327,collagen fibril organization
1328,collagen metabolic process
1329,collagen-activated tyrosine kinase receptor signaling pathway
1330,commissural neuron axon guidance
1331,complement activation
1332,"complement activation, alternative pathway"
1333,"complement activation, classical pathway"
1334,"complement activation, lectin pathway"
1335,complement receptor mediated signaling pathway
1336,copper ion transport
1337,cornification
1338,coronary vasculature development
1339,corpus callosum development
1340,cortical actin cytoskeleton organization
1341,creatine metabolic process
1342,cristae formation
1343,cyclooxygenase pathway
1344,cytidine to uridine editing
1345,cytokine production
1346,cytokine-mediated signaling pathway
1347,cytolysis
1348,cytoplasmic mRNA processing body assembly
1349,cytoplasmic microtubule organization
1350,cytoplasmic sequestering of transcription factor
1351,cytoplasmic translation
1352,cytoskeletal anchoring at plasma membrane
1353,cytoskeleton organization
1354,cytoskeleton-dependent intracellular transport
1355,deadenylation-dependent decapping of nuclear-transcribed mRNA
1356,decidualization
1357,defense response
1358,defense response to Gram-negative bacterium
1359,defense response to Gram-positive bacterium
1360,defense response to bacterium
1361,defense response to fungus
1362,defense response to protozoan
1363,defense response to virus
1364,definitive hemopoiesis
1365,dendrite development
1366,dendrite extension
1367,dendrite morphogenesis
1368,dendrite self-avoidance
1369,dendritic cell chemotaxis
1370,dendritic cell differentiation
1371,dendritic spine development
1372,dendritic spine maintenance
1373,dendritic spine morphogenesis
1374,dentate gyrus development
1375,dephosphorylation
1376,dermatan sulfate biosynthetic process
1377,detection of bacterium
1378,detection of calcium ion
1379,detection of chemical stimulus involved in sensory perception of bitter taste
1380,detection of light stimulus involved in visual perception
1381,detection of mechanical stimulus
1382,detection of mechanical stimulus involved in sensory perception of pain
1383,detection of mechanical stimulus involved in sensory perception of sound
1384,detection of temperature stimulus involved in sensory perception of pain
1385,determination of adult lifespan
1386,determination of left/right symmetry
1387,detoxification of copper ion
1388,developmental growth
1389,developmental process
1390,diacylglycerol metabolic process
1391,digestion
1392,digestive tract development
1393,digestive tract morphogenesis
1394,dolichol-linked oligosaccharide biosynthetic process
1395,dopamine biosynthetic process
1396,dopamine metabolic process
1397,dopamine receptor signaling pathway
1398,dopaminergic neuron differentiation
1399,dorsal/ventral neural tube patterning
1400,dorsal/ventral pattern formation
1401,dosage compensation by inactivation of X chromosome
1402,double-strand break repair
1403,double-strand break repair via homologous recombination
1404,double-strand break repair via nonhomologous end joining
1405,drug metabolic process
1406,drug transmembrane transport
1407,ear development
1408,early endosome to late endosome transport
1409,eating behavior
1410,ectoderm development
1411,embryo development ending in birth or egg hatching
1412,embryo implantation
1413,embryonic brain development
1414,embryonic camera-type eye development
1415,embryonic camera-type eye morphogenesis
1416,embryonic cranial skeleton morphogenesis
1417,embryonic digestive tract development
1418,embryonic digestive tract morphogenesis
1419,embryonic digit morphogenesis
1420,embryonic forelimb morphogenesis
1421,embryonic heart tube development
1422,embryonic hemopoiesis
1423,embryonic hindlimb morphogenesis
1424,embryonic limb morphogenesis
1425,embryonic organ development
1426,embryonic pattern specification
1427,embryonic placenta development
1428,embryonic skeletal joint morphogenesis
1429,embryonic skeletal system development
1430,embryonic skeletal system morphogenesis
1431,embryonic viscerocranium morphogenesis
1432,enamel mineralization
1433,endocardial cushion morphogenesis
1434,endochondral ossification
1435,endocrine pancreas development
1436,endocytic recycling
1437,endocytosis
1438,endoderm development
1439,endodermal cell differentiation
1440,endoplasmic reticulum calcium ion homeostasis
1441,endoplasmic reticulum mannose trimming
1442,endoplasmic reticulum organization
1443,endoplasmic reticulum unfolded protein response
1444,endosomal transport
1445,endosome organization
1446,endosome to lysosome transport
1447,endosome to melanosome transport
1448,endosome transport via multivesicular body sorting pathway
1449,endothelial cell differentiation
1450,endothelial cell migration
1451,endothelial cell morphogenesis
1452,endothelial cell proliferation
1453,energy homeostasis
1454,energy reserve metabolic process
1455,enteric nervous system development
1456,entrainment of circadian clock by photoperiod
1457,eosinophil chemotaxis
1458,ephrin receptor signaling pathway
1459,epidermal growth factor receptor signaling pathway
1460,epidermis development
1461,epithelial cell development
1462,epithelial cell differentiation
1463,epithelial cell morphogenesis
1464,epithelial cell proliferation
1465,epithelial cell-cell adhesion
1466,epithelial cilium movement
1467,epithelial cilium movement involved in determination of left/right asymmetry
1468,epithelial to mesenchymal transition
1469,epithelial to mesenchymal transition involved in endocardial cushion formation
1470,epithelial tube branching involved in lung morphogenesis
1471,epoxygenase P450 pathway
1472,error-free translesion synthesis
1473,error-prone translesion synthesis
1474,erythrocyte development
1475,erythrocyte differentiation
1476,erythrocyte homeostasis
1477,erythrocyte maturation
1478,establishment of cell polarity
1479,establishment of endothelial barrier
1480,establishment of endothelial intestinal barrier
1481,establishment of epithelial cell apical/basal polarity
1482,establishment of epithelial cell polarity
1483,establishment of mitotic spindle orientation
1484,establishment of planar polarity
1485,establishment of protein localization
1486,establishment of skin barrier
1487,establishment or maintenance of actin cytoskeleton polarity
1488,establishment or maintenance of cell polarity
1489,establishment or maintenance of epithelial cell apical/basal polarity
1490,estrogen biosynthetic process
1491,estrogen metabolic process
1492,estrous cycle
1493,ethanol catabolic process
1494,ethanol oxidation
1495,excitatory postsynaptic potential
1496,excretion
1497,execution phase of apoptosis
1498,exit from mitosis
1499,exocytosis
1500,exogenous drug catabolic process
1501,exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay
1502,exploration behavior
1503,extracellular matrix disassembly
1504,extracellular matrix organization
1505,extrinsic apoptotic signaling pathway
1506,extrinsic apoptotic signaling pathway in absence of ligand
1507,extrinsic apoptotic signaling pathway via death domain receptors
1508,eye development
1509,eye photoreceptor cell development
1510,eyelid development in camera-type eye
1511,face development
1512,face morphogenesis
1513,fat cell differentiation
1514,fatty acid beta-oxidation
1515,fatty acid beta-oxidation using acyl-CoA dehydrogenase
1516,fatty acid beta-oxidation using acyl-CoA oxidase
1517,fatty acid biosynthetic process
1518,fatty acid catabolic process
1519,fatty acid homeostasis
1520,fatty acid metabolic process
1521,fatty acid oxidation
1522,fatty-acyl-CoA biosynthetic process
1523,feeding behavior
1524,female gamete generation
1525,female gonad development
1526,female pregnancy
1527,fertilization
1528,fibrinolysis
1529,fibroblast growth factor receptor signaling pathway
1530,filopodium assembly
1531,flagellated sperm motility
1532,focal adhesion assembly
1533,folic acid metabolic process
1534,forebrain development
1535,forelimb morphogenesis
1536,formation of cytoplasmic translation initiation complex
1537,fructose metabolic process
1538,fucosylation
1539,fusion of sperm to egg plasma membrane involved in single fertilization
1540,gamete generation
1541,gamma-aminobutyric acid signaling pathway
1542,gastrulation
1543,gastrulation with mouth forming second
1544,gene silencing by RNA
1545,gene silencing by miRNA
1546,generation of precursor metabolites and energy
1547,genitalia development
1548,germ cell development
1549,glial cell differentiation
1550,glial cell migration
1551,global genome nucleotide-excision repair
1552,glomerular filtration
1553,glucocorticoid biosynthetic process
1554,gluconeogenesis
1555,glucose homeostasis
1556,glucose metabolic process
1557,glucose transmembrane transport
1558,glutamate metabolic process
1559,glutamate receptor signaling pathway
1560,glutamate secretion
1561,glutamine metabolic process
1562,glutathione biosynthetic process
1563,glutathione catabolic process
1564,glutathione derivative biosynthetic process
1565,glutathione metabolic process
1566,glycerol metabolic process
1567,glycerolipid metabolic process
1568,glycerophospholipid catabolic process
1569,glycogen biosynthetic process
1570,glycogen catabolic process
1571,glycogen metabolic process
1572,glycolipid biosynthetic process
1573,glycolytic process
1574,glycoprotein metabolic process
1575,glycosaminoglycan biosynthetic process
1576,glycosaminoglycan catabolic process
1577,glycosaminoglycan metabolic process
1578,glycosphingolipid metabolic process
1579,gonad development
1580,grooming behavior
1581,growth hormone receptor signaling pathway
1582,growth plate cartilage chondrocyte morphogenesis
1583,hair cycle
1584,hair follicle development
1585,hair follicle morphogenesis
1586,head development
1587,heart contraction
1588,heart development
1589,heart looping
1590,heart morphogenesis
1591,heart trabecula formation
1592,hematopoietic progenitor cell differentiation
1593,hematopoietic stem cell differentiation
1594,hematopoietic stem cell proliferation
1595,heme biosynthetic process
1596,hemidesmosome assembly
1597,hemopoiesis
1598,heparan sulfate proteoglycan biosynthetic process
1599,hepatocyte apoptotic process
1600,hepatocyte differentiation
1601,hepatocyte growth factor receptor signaling pathway
1602,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
1603,heterotypic cell-cell adhesion
1604,hexose transmembrane transport
1605,high-density lipoprotein particle assembly
1606,high-density lipoprotein particle clearance
1607,high-density lipoprotein particle remodeling
1608,hindbrain development
1609,hippo signaling
1610,hippocampus development
1611,histone H2A acetylation
1612,histone H2A monoubiquitination
1613,histone H3 acetylation
1614,histone H3 deacetylation
1615,histone H3-K4 methylation
1616,histone H3-K4 trimethylation
1617,histone H3-K9 demethylation
1618,histone H4 acetylation
1619,histone H4 deacetylation
1620,histone H4-K16 acetylation
1621,histone H4-K5 acetylation
1622,histone H4-K8 acetylation
1623,histone acetylation
1624,histone deacetylation
1625,histone deubiquitination
1626,histone mRNA catabolic process
1627,histone mRNA metabolic process
1628,histone methylation
1629,histone monoubiquitination
1630,histone phosphorylation
1631,homeostasis of number of cells
1632,homeostasis of number of cells within a tissue
1633,homeostatic process
1634,homophilic cell adhesion via plasma membrane adhesion molecules
1635,hormone biosynthetic process
1636,hormone metabolic process
1637,hormone-mediated signaling pathway
1638,humoral immune response
1639,humoral immune response mediated by circulating immunoglobulin
1640,hyaluronan catabolic process
1641,hyaluronan metabolic process
1642,hydrogen peroxide catabolic process
1643,hypothalamus development
1644,immune response
1645,immune system process
1646,immunoglobulin mediated immune response
1647,immunoglobulin production
1648,immunological synapse formation
1649,import into nucleus
1650,in utero embryonic development
1651,inactivation of MAPK activity
1652,induction of positive chemotaxis
1653,inflammatory response
1654,inflammatory response to antigenic stimulus
1655,inhibitory postsynaptic potential
1656,innate immune response
1657,innate immune response in mucosa
1658,inner cell mass cell proliferation
1659,inner dynein arm assembly
1660,inner ear development
1661,inner ear morphogenesis
1662,inner ear receptor cell stereocilium organization
1663,innervation
1664,inositol phosphate biosynthetic process
1665,inositol phosphate dephosphorylation
1666,inositol phosphate metabolic process
1667,insulin receptor signaling pathway
1668,insulin secretion
1669,insulin-like growth factor receptor signaling pathway
1670,integrin-mediated signaling pathway
1671,interferon-gamma production
1672,interferon-gamma-mediated signaling pathway
1673,interleukin-1-mediated signaling pathway
1674,interleukin-12-mediated signaling pathway
1675,interleukin-15-mediated signaling pathway
1676,interleukin-2-mediated signaling pathway
1677,interleukin-27-mediated signaling pathway
1678,interleukin-35-mediated signaling pathway
1679,interleukin-6-mediated signaling pathway
1680,interleukin-7-mediated signaling pathway
1681,intermediate filament cytoskeleton organization
1682,intermediate filament organization
1683,interstrand cross-link repair
1684,intestinal absorption
1685,intestinal cholesterol absorption
1686,intra-Golgi vesicle-mediated transport
1687,intra-S DNA damage checkpoint
1688,intracellular cholesterol transport
1689,intracellular estrogen receptor signaling pathway
1690,intracellular protein transport
1691,intracellular signal transduction
1692,intracellular steroid hormone receptor signaling pathway
1693,intracellular transport
1694,intracellular transport of virus
1695,intraciliary retrograde transport
1696,intraciliary transport
1697,intraciliary transport involved in cilium assembly
1698,intrinsic apoptotic signaling pathway
1699,intrinsic apoptotic signaling pathway by p53 class mediator
1700,intrinsic apoptotic signaling pathway in response to DNA damage
1701,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
1702,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
1703,intrinsic apoptotic signaling pathway in response to oxidative stress
1704,ion transmembrane transport
1705,ion transport
1706,iron ion homeostasis
1707,iron ion transport
1708,iron-sulfur cluster assembly
1709,isoprenoid biosynthetic process
1710,isotype switching
1711,keratan sulfate biosynthetic process
1712,keratan sulfate catabolic process
1713,keratinization
1714,keratinocyte differentiation
1715,keratinocyte proliferation
1716,kidney development
1717,killing of cells of other organism
1718,kinetochore assembly
1719,labyrinthine layer blood vessel development
1720,lactation
1721,lamellipodium assembly
1722,lateral ventricle development
1723,layer formation in cerebral cortex
1724,learning
1725,learning or memory
1726,left/right axis specification
1727,lens development in camera-type eye
1728,lens fiber cell differentiation
1729,lens morphogenesis in camera-type eye
1730,leukocyte cell-cell adhesion
1731,leukocyte chemotaxis
1732,leukocyte migration
1733,leukocyte tethering or rolling
1734,leukotriene D4 biosynthetic process
1735,leukotriene biosynthetic process
1736,leukotriene metabolic process
1737,limb bud formation
1738,limb development
1739,limb morphogenesis
1740,linoleic acid metabolic process
1741,lipid biosynthetic process
1742,lipid catabolic process
1743,lipid droplet organization
1744,lipid glycosylation
1745,lipid homeostasis
1746,lipid metabolic process
1747,lipid phosphorylation
1748,lipid storage
1749,lipid transport
1750,lipopolysaccharide-mediated signaling pathway
1751,lipoprotein metabolic process
1752,lipoprotein transport
1753,lipoxygenase pathway
1754,liver development
1755,liver regeneration
1756,locomotor rhythm
1757,locomotory behavior
1758,locomotory exploration behavior
1759,long-chain fatty acid biosynthetic process
1760,long-chain fatty acid import
1761,long-chain fatty acid metabolic process
1762,long-chain fatty acid transport
1763,long-chain fatty-acyl-CoA biosynthetic process
1764,long-term memory
1765,long-term synaptic depression
1766,long-term synaptic potentiation
1767,low-density lipoprotein particle clearance
1768,low-density lipoprotein particle receptor catabolic process
1769,low-density lipoprotein particle remodeling
1770,lung alveolus development
1771,lung development
1772,lung morphogenesis
1773,lymph node development
1774,lymphangiogenesis
1775,lymphocyte chemotaxis
1776,lysosomal transport
1777,lysosome localization
1778,lysosome organization
1779,mRNA 3'-end processing
1780,mRNA catabolic process
1781,"mRNA cis splicing, via spliceosome"
1782,mRNA destabilization
1783,mRNA export from nucleus
1784,mRNA methylation
1785,mRNA polyadenylation
1786,mRNA processing
1787,mRNA splice site selection
1788,"mRNA splicing, via spliceosome"
1789,mRNA stabilization
1790,mRNA transcription by RNA polymerase II
1791,mRNA transport
1792,macroautophagy
1793,macrophage activation
1794,macrophage activation involved in immune response
1795,macrophage chemotaxis
1796,macrophage differentiation
1797,magnesium ion transport
1798,maintenance of gastrointestinal epithelium
1799,maintenance of protein location in nucleus
1800,male genitalia development
1801,male gonad development
1802,male meiosis I
1803,male meiotic nuclear division
1804,male sex determination
1805,mammary gland alveolus development
1806,mammary gland development
1807,mammary gland epithelial cell differentiation
1808,manganese ion transport
1809,mast cell degranulation
1810,maternal behavior
1811,maternal placenta development
1812,maternal process involved in female pregnancy
1813,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
1814,maturation of SSU-rRNA
1815,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
1816,megakaryocyte development
1817,meiotic cell cycle
1818,melanin biosynthetic process
1819,melanocyte differentiation
1820,melanosome organization
1821,melanosome transport
1822,membrane depolarization
1823,membrane depolarization during action potential
1824,membrane depolarization during cardiac muscle cell action potential
1825,membrane fusion
1826,membrane organization
1827,membrane protein ectodomain proteolysis
1828,membrane protein intracellular domain proteolysis
1829,membrane protein proteolysis
1830,membrane repolarization
1831,membrane repolarization during ventricular cardiac muscle cell action potential
1832,membranous septum morphogenesis
1833,memory
1834,mesoderm development
1835,mesoderm formation
1836,mesodermal cell differentiation
1837,mesonephros development
1838,metanephros development
1839,metaphase plate congression
1840,methylation
1841,methylation-dependent chromatin silencing
1842,miRNA mediated inhibition of translation
1843,miRNA metabolic process
1844,microglial cell activation
1845,microtubule anchoring
1846,microtubule anchoring at centrosome
1847,microtubule bundle formation
1848,microtubule cytoskeleton organization
1849,microtubule depolymerization
1850,microtubule nucleation
1851,microtubule polymerization
1852,microtubule-based movement
1853,microtubule-based process
1854,microvillus assembly
1855,midbody abscission
1856,midbrain development
1857,middle ear morphogenesis
1858,midgut development
1859,mismatch repair
1860,mitochondrial ATP synthesis coupled proton transport
1861,mitochondrial calcium ion homeostasis
1862,mitochondrial calcium ion transmembrane transport
1863,"mitochondrial electron transport, NADH to ubiquinone"
1864,"mitochondrial electron transport, cytochrome c to oxygen"
