Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
P42892,0.432,59,-0.001,0.432,0.175,172,497.917,189.121,308.796,1862.93,28.581,3.947,0.509,0.36,11.935,4.194,22,-2,41.964,11.729,31.659,0.928
P42898,0.746,52,-0.016,0.512,0.27,61,188.076,66.917,121.159,573.619,30.474,3.695,0.399,0.623,12.385,4.308,7,-1,41.026,5.723,14.082,0.678
P43003,0.992,41,0.098,0.486,0.194,91,245.001,52.988,192.013,793.903,35.37,3.937,0.485,0.593,46.826,3.652,6,0,33.333,5.964,20.817,0.729
P43004,0.942,47,0.126,0.485,0.184,73,181.699,12.968,168.731,599.651,39.074,4.034,0.525,0.74,57.375,4.312,2,0,27.907,5.08,13.851,0.974
P43005,0.976,36,-0.172,0.106,0.067,149,427.99,81.896,346.094,1214.435,43.936,3.898,0.445,0.631,38.057,3.657,12,0,34.884,8.104,23.43,0.762
P43007,0.416,42,0.021,0.375,0.112,121,290.31,65.691,224.619,867.436,23.286,3.916,0.458,0.463,38.172,3.552,10,0,33.871,6.947,15.622,0.79
P43026,0.413,43,0.274,0.084,0.021,67,158.174,35.491,122.683,583.123,27.724,4.025,0.552,0.433,32.4,5.9,7,2,32.5,4.749,11.581,0.643
P43034,0.755,24,0.158,0.091,0.039,40,115.686,11.83,103.856,447.08,29.5,3.981,0.553,0.8,41.714,5.286,5,0,23.077,3.715,10.471,0.792
P43080,0.696,25,0.174,0.478,0.087,84,194.199,50.491,143.708,519.57,35.561,3.781,0.415,0.488,27.267,4.4,9,2,40,5.163,11.878,0.591
P43088,0.76,24,-0.017,0.515,0.376,39,133.591,15.244,118.348,354.145,26.129,3.876,0.409,0.795,62.143,4.5,2,1,19.231,4.009,11.88,0.567
P43115,0.756,40,-0.065,0.241,0.16,91,212.194,39.998,172.196,639.148,62.359,3.973,0.485,0.857,47.176,4.529,8,1,23.077,5.225,12.7,0.871
P43116,0.952,28,0.096,0.768,0.443,82,172.344,52.789,119.555,632.833,46.08,3.948,0.52,0.61,29.357,4,9,0,36.735,5.507,16.378,0.666
P43119,0.985,21,-0.168,0.964,0.29,105,334.622,39.843,294.779,983.117,58.69,3.981,0.501,0.829,48.75,4.188,3,2,29.508,7.056,21.929,0.622
P43121,0.895,42,0.175,0.592,0.242,27,123.042,1.071,121.97,270.409,17.833,3.691,0.648,0.889,83,4.333,0,0,21.739,4.964,13.148,0.97
P43146,0.352,81,-0.119,0.059,0.033,104,322.441,128.013,194.428,938.576,46.246,3.86,0.432,0.625,15.263,3.632,11,-1,43.333,6.708,15.906,0.75
P43155,0.932,46,0.166,0.043,0.012,160,387.968,117.143,270.825,1428.919,42.047,3.95,0.504,0.531,28.977,4.209,25,-1,34.375,9.188,23.092,0.981
P43166,0.372,11,0.366,0.05,0.049,44,131.454,44.505,86.949,424.336,16,3.877,0.445,0.5,35.941,4.529,13,4,33.333,4.708,9.324,0.995
P43220,0.798,28,0.005,0.41,0.239,56,197.528,4.308,193.22,714.496,33.042,4.036,0.64,0.857,74.429,5.214,4,1,14.894,6,15.649,0.919
P43234,0.74,24,-0.045,0.015,0.01,49,197.191,17.254,179.937,563.346,45.551,3.889,0.463,1,15.75,5.125,5,0,24.242,4.319,10.257,0.456
P43235,0.561,20,0.089,0.2,0.119,60,234.943,63.46,171.483,769.602,20.194,4.123,0.558,0.517,36,4.667,7,0,35,6.129,16.904,0.957
P43243,0.88,45,-0.587,0.043,0.036,122,506.922,76.472,430.45,1368.453,45.857,4.114,0.465,0.689,50.9,4.8,7,3,31.429,8.428,23.41,0.599
P43246,0.297,72,0.2,0.208,0.152,74,112.433,29.106,83.326,394.247,40.905,3.844,0.467,0.568,13.188,4.188,10,0,41.86,4.537,12.049,0.609
P43250,0.734,39,0.111,0.02,0.014,92,219.726,69.822,149.904,782.246,38.696,4.012,0.477,0.5,26.269,3.923,12,-1,40.351,5.903,14.778,0.873
P43251,0.552,33,0.361,0.021,0.014,86,109.439,23.638,85.801,492.623,52.036,3.977,0.476,0.651,60,5.067,7,2,23.81,4.164,9.531,0.969
P43268,0.327,19,0.089,0.326,0.042,23,103.366,26.831,76.535,316.112,17,3.972,0.609,0.783,38.75,3.5,0,0,33.333,2.605,5.901,0.369
P43304,0.997,45,0,0.679,0.099,456,956.673,277.985,678.687,3572.592,43.404,3.942,0.486,0.412,26.882,4.035,42,7,40,17.664,53.511,0.878
P43307,0.391,18,0.102,0.278,0.074,20,114.966,9.665,105.301,365.859,12.571,3.893,0.65,0.7,78,4.667,0,0,23.81,3.686,9.017,0.982
P43308,0.911,10,0.228,0.389,0.061,30,138.179,25.87,112.309,367.17,14.818,3.853,0.629,0.733,73.167,4.5,1,0,30.769,5.365,15.061,0.339
P43320,0.257,9,0.027,0.075,0.065,43,143.412,50.425,92.987,506.048,8.8,4.126,0.504,0.233,-5,3.5,6,-1,38.71,3.873,11.147,0.671
P43351,0.156,25,-0.379,0.055,0.01,71,301.618,92.699,208.92,907.29,39.581,4.117,0.404,0.606,22.6,4.6,6,2,38.462,5.37,15.43,0.613
P43353,0.55,29,-0.319,0.348,0.17,207,583.279,180.505,402.774,2036.455,40.758,4.114,0.481,0.459,15.778,4.067,23,2,42.609,10.592,29.661,0.97
P43354,0.938,23,0.058,0.582,0.025,52,145.022,21.606,123.416,436.568,28.611,3.663,0.409,0.692,41,4.333,5,1,35.135,4.536,13.013,0.756
P43355,0.932,26,0.285,0.502,0.11,48,183.434,53.01,130.424,627.253,24.971,3.987,0.549,0.729,24.2,4.533,8,1,38.889,6.004,16.742,0.818
P43356,0.675,27,-0.565,0.113,0.011,80,328.199,66.718,261.481,1016.645,48.586,3.974,0.449,0.725,49.364,4.364,9,-1,39.623,6.027,14.687,0.66
P43357,0.586,12,0.143,0.043,0.033,31,79.045,5.379,73.665,202.186,28,3.775,0.481,0.935,90.333,4.889,0,0,13.636,2.565,6.594,0.733
P43358,0.665,19,0.232,0.233,0.066,37,55.371,11.897,43.475,205.394,29,3.76,0.434,0.811,52.545,4.636,4,2,28,2.599,7.51,0.767
P43359,0.806,1,0.196,0,0,42,219.997,30.399,189.598,705.548,25,3.927,0.547,0.905,48.273,4.818,4,0,24.242,6.224,15.068,0.484
P43360,0.686,15,0.326,0.42,0.171,34,123.258,39.932,83.326,456.579,20.207,3.853,0.637,0.853,50.071,4.143,5,2,28.125,6.202,14.946,0.918
P43361,0.65,17,0.301,0.041,0.031,38,123.761,11.808,111.953,426.517,28.933,3.998,0.49,0.789,47.538,3.846,3,1,32.143,3.763,9.307,0.887
P43362,0.367,16,-0.033,0.08,0.06,19,107.348,21.606,85.742,215.645,13,3.72,0.464,0.737,22.429,4.143,4,1,31.25,2.737,7.275,0.624
P43363,0.048,19,-0.17,0.038,0.01,43,135.169,57.881,77.288,383.05,28,3.918,0.537,0.674,33.778,4.111,4,0,25.926,3.101,7.342,0.641
P43364,0.012,11,-0.118,0.004,0.001,27,91.969,19.353,72.616,252.763,24,3.822,0.45,0.926,52.5,4.375,3,0,20,2.833,6.718,0.604
P43365,0.586,22,-0.025,0.548,0.144,33,98.069,8.704,89.364,200.032,29.484,3.677,0.427,0.939,69,5,3,1,21.739,3.422,7.585,0.768
P43366,0.906,23,0.208,0.103,0.029,70,207.287,35.646,171.642,742.686,33.176,3.873,0.514,0.729,39.8,4.533,6,2,29.787,5.772,15.099,0.816
P43378,0.834,42,0.104,0.126,0.008,85,111.378,7.522,103.856,450.997,69.726,4.024,0.51,0.859,67.5,4.889,5,0,15.217,4.029,10.466,0.877
P43403,0.9,48,-0.061,0.621,0.429,66,183.55,28.974,154.576,579.581,40.5,3.93,0.43,0.667,17.652,3.478,9,-3,38.095,4.979,13.585,0.747
P43405,0.979,48,-0.099,0.44,0.077,205,559.543,193.473,366.07,1973.4,37.495,3.961,0.457,0.502,5.913,4,25,1,39.316,10.898,31.999,0.737
P43487,0.373,14,0.357,0.202,0.123,39,117.65,70.552,47.097,372.021,23,3.876,0.478,0.615,23.818,4.182,6,1,29.167,4.359,11.352,0.947
P43489,0.427,11,0.219,0.33,0.022,40,130.665,26.809,103.856,325.014,20.87,3.767,0.51,0.575,54.429,3.857,1,1,34.783,3.726,9.039,0.234
P43490,0.843,36,0.093,0.403,0.024,53,149.913,18.281,131.631,495.634,37.095,3.827,0.474,0.792,30.929,3.929,6,0,28.571,4.456,10.422,0.983
P43626,0.682,13,0.157,0.195,0.101,26,84.125,3.214,80.911,287.135,22,3.752,0.583,0.885,89.2,4.8,0,0,18.182,3.263,7.719,0.881
P43627,0.503,21,0.061,0.071,0.061,21,68.426,3.214,65.212,175.776,18,3.77,0.632,0.905,92.5,5,0,0,15,2.255,5.683,0.913
P43628,0.927,25,-0.09,0.14,0.023,75,308.659,105.778,202.882,1091.027,26.093,4.004,0.527,0.573,10.474,4,12,2,36.842,7.808,25.577,0.761
P43629,0.784,35,0.081,0.312,0.084,40,106,13.012,92.987,427.188,29.75,3.859,0.564,0.8,66.167,4.667,2,1,29.63,3.825,11.587,0.877
P43630,0.405,33,-0.117,0.015,0.009,89,268.587,79.168,189.419,878.993,57.844,4.071,0.452,0.719,27.667,5.25,7,4,32.692,5.211,12.606,0.479
P43631,0.328,15,0.046,0.185,0.08,20,94.903,15.2,79.703,254.693,14.375,3.85,0.674,0.8,64,5.167,2,1,31.579,3.464,9.063,0.8
P43632,0.888,14,0.235,0.24,0.116,37,131.163,45.422,85.742,454.63,19,3.82,0.613,0.649,33.286,4.714,4,1,38.235,6.356,17.008,0.721
P43652,0.897,47,0.031,0.57,0.075,105,243.52,33.392,210.127,859.389,53.922,4.008,0.502,0.733,51.125,4.708,10,1,22.642,6.121,13.494,0.944
P43657,0.942,22,0.167,0.802,0.234,76,184.525,21.496,163.03,767.632,41,3.88,0.475,0.947,50.895,4.316,7,0,20.37,6.479,16.507,0.604
P43681,0.545,37,0.209,0.402,0.314,52,101.473,18.325,83.148,402.639,45,4.085,0.561,0.885,54.143,5.286,5,0,16.129,2.785,7.923,0.957
P43686,0.673,35,0.246,0.063,0.043,91,223.016,62.897,160.119,772.214,33.524,3.914,0.507,0.462,13.13,3.391,9,-1,41.818,6.488,17.148,0.907
P43694,0.644,12,0.278,0.02,0.011,23,116.898,21.496,95.403,504.688,11.231,4.094,0.691,0.565,8.833,4.667,3,2,33.333,5.285,11.244,0.701
P43699,0.215,9,0.076,0.051,0.012,21,128.695,15.177,113.517,375.07,20,4.028,0.408,1,19,6.2,5,2,15.789,3.011,6.587,0.817
P43897,0.498,19,0.285,0.297,0.226,65,159.729,73.988,85.742,474.013,19.583,3.916,0.504,0.369,32.692,4.615,7,3,34.146,4.746,11.189,0.929
P45378,0.13,35,0.058,0.091,0.077,28,86.859,22.855,64.004,395.802,19.714,4.034,0.694,0.75,64.5,5.333,2,2,33.333,3.206,8.459,0.984
P45379,0.28,45,0.184,0.135,0.109,33,117.861,44.195,73.665,419.646,15.412,4.063,0.639,0.515,18.833,4.5,4,-1,36,4.626,11.267,0.978
P45381,0.738,15,0.557,0.49,0.412,75,99.695,46.56,53.136,445.028,13.111,3.758,0.432,0.24,14.913,4.783,18,3,41.304,5.058,10.224,0.962
P45452,0.966,29,-0.111,0.87,0.512,198,579.311,220.645,358.666,1998.622,24.5,3.907,0.443,0.384,17.054,4.216,19,5,40.351,11.536,32.598,0.62
P45844,0.997,52,-0.558,0.054,0.052,206,566.75,56.854,509.896,1752.178,74.889,3.92,0.473,0.874,57.875,4.312,7,2,24.545,8.983,25.463,0.658
P45877,0.168,11,0.041,0.045,0.004,35,127.724,43.19,84.534,412.233,28.733,3.817,0.496,0.857,3,4.571,5,-1,28,4.034,9.955,0.995
P45880,0.496,33,-0.049,0.272,0.152,97,283.903,91.198,192.705,939.996,23.429,3.946,0.483,0.361,21.389,3.944,6,1,38.333,5.986,13.824,0.703
P45954,0.924,19,-0.113,0.034,0.011,162,406.168,116.337,289.831,1364.186,41.039,4.005,0.427,0.475,41.355,4.355,14,1,34.483,8.544,22.347,0.99
P45973,0.077,16,-0.052,0.07,0.051,112,354.465,189.019,165.445,1130.55,26.694,3.948,0.504,0.438,21.812,4.5,11,-3,38.235,7.767,19.623,0.859
P45974,0.032,72,-0.068,0.026,0.023,95,173.126,76.516,96.61,600.45,25.429,3.972,0.508,0.295,6.235,3.882,11,3,48.077,5.166,12.493,0.713
P45983,0.911,34,-0.359,0.306,0.153,236,679.164,258.513,420.651,2157.188,30.759,3.948,0.457,0.369,22.213,4,24,2,43.609,13.181,37.998,0.653
P45984,0.953,36,-0.19,0.344,0.052,225,629.113,203.315,425.798,2008.457,27.933,3.891,0.449,0.396,22.771,4.333,28,3,41.406,12.955,34.327,0.634
P45985,0.676,26,0.016,0.082,0.032,97,284.645,97.879,186.766,841.467,27.3,4.037,0.473,0.412,14.593,3.63,15,0,44.068,6.596,17.782,0.854
P46013-1,0.479,51,-0.112,0.403,0.166,32,184.239,42.947,141.293,520.58,18.3,3.993,0.473,0.625,25.444,4,3,-1,32.143,4.495,11.805,0.747
P46013-10,0.108,90,-0.041,0.054,0.047,29,115.685,45.643,70.042,246.267,20,3.861,0.428,0.724,25.8,5.4,3,2,30,2.907,7.546,0.66
P46013-11,0.512,61,0.025,0.026,0.018,32,126.008,28.19,97.818,447.277,27.31,3.92,0.568,0.906,7.222,3.778,5,2,32.143,4.071,8.447,0.575
P46013-2,0.153,69,-0.066,0.1,0.044,66,248.776,124.391,124.386,806.193,25.857,4.032,0.497,0.424,17.533,3.533,6,2,42.857,5.087,14.103,0.461
P46013-3,0.143,37,0.242,0.072,0.064,32,150.314,51.288,99.026,457.751,19.739,3.975,0.486,0.719,-6.4,4.8,2,2,31.818,4.375,9.518,0.296
P46013-4,0.519,49,-0.083,0.302,0.256,26,123.692,35.535,88.157,419.146,16,4.091,0.592,0.654,48.6,5.4,2,0,36.364,3.365,9.476,0.489
P46013-5,0.148,73,-0.185,0.141,0.039,80,296.987,152.072,144.915,967.838,23.895,3.911,0.476,0.475,9.778,3.778,11,-1,42.593,6.804,14.826,0.465
P46013-6,0.827,91,-0.256,0.056,0.044,58,274.699,56.158,218.54,885.463,29.714,4.024,0.472,0.603,35.545,3.364,3,1,34.286,5.568,14.084,0.474
P46013-7,0.409,96,-0.206,0.194,0.064,94,390.474,196.046,194.428,1067.421,26.818,3.872,0.43,0.468,34.176,3.765,7,1,44.828,7.916,21.215,0.603
P46013-8,0.28,58,0.098,0.107,0.092,23,61.362,13.057,48.305,243.497,18,3.94,0.642,0.826,-1.667,4.167,4,1,25,2.679,5.949,0.391
P46013-9,0.194,82,-0.031,0.033,0.013,62,232.088,92.003,140.085,720.989,28.824,4.026,0.468,0.548,-1.333,4.167,8,0,37.838,4.665,11.568,0.514
P46019,0.43,87,-0.171,0.256,0.222,121,236.924,67.856,169.068,822.34,32.426,3.988,0.49,0.388,14.13,4.391,13,2,40.299,6.144,14.735,0.701
P46020,0.854,95,0.021,0.718,0.126,412,907.845,279.819,628.026,3620.135,50.112,3.942,0.468,0.432,20.944,4.239,43,1,37.5,14.85,37.563,0.623
P46059,0.883,57,-0.177,0.061,0.057,52,174.561,4.286,170.276,505.51,41.565,4.075,0.543,0.885,76.444,5.222,1,0,11.429,4.477,11.135,0.614
P46060,0.075,36,-0.051,0.068,0.028,112,341.154,179.332,161.822,1317.125,22.615,3.887,0.517,0.348,-0.737,3.947,13,-6,41.975,7.962,24.378,0.534
P46063,0.573,53,0.261,0.238,0.171,51,90.312,31.139,59.174,330.917,29,3.807,0.477,0.588,25.25,4.583,7,-1,39.394,3.772,8.431,0.967
P46087,0.387,31,0.168,0.173,0.087,26,56.29,9.687,46.602,195.26,15,3.811,0.511,0.615,1.875,5,5,2,36.842,2.519,5.521,0.874
P46089,0.999,24,0.28,0.276,0.035,187,384.066,51.651,332.414,1435.608,50.38,3.979,0.503,0.647,53.5,3.952,10,0,29.358,11.151,29.935,0.972
P46091,0.835,24,-0.07,0.658,0.65,57,155.516,11.808,143.708,465.127,36.39,4.076,0.604,0.719,37.643,4.286,8,2,27.027,4.109,10.92,0.91
P46092,0.385,26,-0.129,0.223,0.155,47,196.991,50.868,146.123,673.54,29.471,4.105,0.51,0.723,45.167,4.722,9,4,32.432,4.88,11.045,0.611
P46093,0.73,22,0.462,0.177,0.136,64,93.019,30.222,62.797,339.317,30.625,3.69,0.402,0.5,26.812,5.375,10,0,44.118,4.063,8.572,0.718
P46094,0.915,27,0.102,0.277,0.108,46,132.158,5.357,126.801,363.805,36.714,3.898,0.639,0.913,67,4,2,0,21.212,4.574,12.074,0.988
P46095,0.992,30,0.233,0.041,0.037,243,433.218,98.388,334.83,1662.435,71.216,3.977,0.476,0.63,43.833,4.024,16,0,32.787,11.391,28.86,0.958
P46098,0.858,44,0.095,0.479,0.302,49,156.123,1.071,155.051,416.436,44.857,3.891,0.452,1,70.533,4.6,4,0,19.355,4.291,10.516,0.877
P46100,0.9,144,-0.067,0.154,0.083,66,167.801,21.54,146.261,421.259,49.033,3.824,0.517,0.909,59.727,4.364,1,-1,22.5,4.648,11.826,0.677
P46108,0.046,31,-0.118,0.033,0.006,33,111.338,17.143,94.195,349.431,22,4.027,0.629,0.697,16.857,4.286,4,-1,24,3.261,7.406,0.546
P46109,0.153,20,-0.041,0.049,0.006,49,201.919,81.156,120.763,701.871,28.067,4.179,0.548,0.612,14.818,4.455,6,0,38.889,4.597,11.871,0.622
P46199,0.718,58,-0.108,0.049,0.025,106,268.943,93.837,175.106,788.065,38.034,3.818,0.483,0.547,39.412,4.824,9,0,34.921,6.331,13.937,0.588
P46379,0.995,50,-1.101,0.242,0.069,378,1230.735,189.661,1041.074,3457.363,57.035,3.913,0.438,0.746,54.758,4.152,20,3,25.943,14.477,39.542,0.578
P46439,0.586,14,0.251,0.267,0.056,41,102.815,18.281,84.534,301.262,30.5,3.758,0.48,0.78,49.375,5.125,4,1,23.333,3.228,8.354,0.987
P46459,0.264,57,-0.09,0.248,0.118,74,221.384,77.676,143.708,754.915,26.714,3.867,0.473,0.378,23.095,3.333,7,-1,45.098,6.434,17.462,0.869
P46527,0.102,7,0.097,0.098,0.049,22,99.156,37.567,61.589,314.143,14,4.162,0.452,0.682,19.667,4.833,4,0,33.333,2.257,5.706,0.921
P46531,0.6,157,-0.049,0.443,0.224,26,124.915,13.101,111.814,363.519,16.8,3.838,0.57,0.769,63.833,4.833,2,1,27.273,4.094,10.66,0.33
P46597,0.979,16,0.04,0.002,0.001,280,615.005,156.048,458.958,2172.323,49.226,3.904,0.459,0.6,41.094,4.491,26,-3,34,12.661,30.353,0.943
P46663,0.835,36,0.019,0.133,0.13,85,234.607,38.971,195.636,678.801,67.367,3.751,0.483,0.929,54.818,6.182,7,3,20.833,4.998,13.818,0.592
P46695,0.395,8,0.19,0.218,0.125,39,182.057,80.616,101.441,545.177,10.133,3.916,0.502,0.385,38.571,5.857,4,3,44.828,4.85,13.413,0.413
P46721,0.852,59,-0.489,0.039,0.029,190,502.751,142.561,360.19,1826.425,53.381,3.975,0.479,0.595,33.619,4.405,25,3,34.862,9.543,24.197,0.919
P46734,0.687,25,-0.19,0.313,0.02,83,293.88,122.159,171.721,923.932,38.681,3.889,0.517,0.566,1.471,4.059,10,-2,44.444,7.059,18.411,0.51
P46736,0.245,27,0.208,0.054,0.046,59,149.576,42.097,107.479,466.793,31.697,4.082,0.501,0.559,53.357,4.071,4,1,30.769,4.16,9.442,0.98
P46776,0.389,8,0.408,0.041,0.003,23,75.703,22.567,53.136,304.372,16,4.134,0.57,0.739,7.143,4,5,4,29.412,2.93,7.082,0.868
P46777,0.491,23,0.429,0.047,0.041,53,120.012,37.656,82.356,472.298,24.438,4.039,0.524,0.604,26.6,4.7,5,2,33.333,4.953,12.175,0.91
P46778,0.337,12,0.208,0.272,0.188,34,137.235,52.701,84.534,458.471,15,4.035,0.543,0.471,5.778,4,6,1,48,4.484,11.475,0.881
P46779,0.104,5,0.152,0.008,0.003,16,92.79,21.54,71.25,304.423,9,3.982,0.68,0.625,0.889,3.444,4,2,35,3.275,6.358,0.861
P46781,0.425,26,0.216,0.053,0.029,48,147.82,47.587,100.233,440.754,27.419,3.806,0.532,0.646,26.333,4.556,6,1,39.394,4.256,10.376,0.976
P46782,0.735,15,0.308,0.496,0.27,72,209.657,58.545,151.112,809.514,24.5,3.999,0.496,0.556,27.429,4.929,8,4,34.091,6.499,16.455,0.945
P46783,0.359,16,0.338,0.239,0.141,37,126.234,48.946,77.288,396.907,16.316,3.9,0.484,0.514,22.375,5.125,6,1,39.13,4.237,9.651,0.984
P46821,0.066,89,0.033,0.04,0.038,103,302.587,161.294,141.292,911.72,24,3.83,0.468,0.311,17.118,3.765,10,-4,46.032,6.8,18.064,0.318
P46926,0.419,16,0.031,0.364,0.032,95,248.922,108.837,140.085,821.168,21.625,3.821,0.475,0.337,21.882,4.412,9,2,43.636,6.634,16.753,0.664
P46934,0.069,61,-1.153,0.008,0.004,236,841.503,245.134,596.37,2693.421,55.425,4.103,0.451,0.619,46.05,4.375,17,4,33.871,10.302,29.236,0.39
P46937,0.37,28,-0.036,0.022,0.021,99,304.963,106.694,198.268,984.345,45.057,3.998,0.454,0.535,16.875,3.812,9,2,44.828,6.34,17.268,0.642
P46939-1,0.518,135,-0.134,0.152,0.14,121,368.477,153.519,214.958,1318.028,45.2,4.058,0.492,0.579,17,4.13,14,1,42.857,8.672,24.914,0.67
P46939-10,0.045,119,-0.213,0.017,0.014,54,217.97,81.112,136.858,712.16,25.438,4.062,0.504,0.593,36.417,4.917,8,2,32.5,5.724,15.325,0.306
P46939-11,0.593,131,-0.093,0.327,0.233,63,209.508,88.745,120.763,707.501,29.231,3.919,0.471,0.619,4.429,4.643,8,6,34.091,5.462,13.999,0.532
P46939-12,0.759,112,-0.044,0.46,0.375,53,197.042,60.422,136.62,640.124,32.732,3.975,0.486,0.774,26.538,4.154,6,0,32.5,5.523,15.628,0.706
P46939-2,0.32,151,-0.06,0.153,0.142,54,234.556,52.205,182.352,693.696,26.5,3.923,0.468,0.667,40.917,4,5,0,31.429,5.701,12.937,0.535
P46939-3,0.911,139,-0.012,0.429,0.213,53,160.984,47.388,113.596,414.125,39.739,3.735,0.407,0.868,38.231,4.231,8,1,37.5,4.943,14.582,0.532
P46939-4,0.539,132,0.008,0.296,0.267,53,155.999,72.673,83.326,576.744,35.395,3.858,0.482,0.811,32.5,4.5,5,1,33.333,4.834,13.634,0.955
P46939-5,0.247,147,0.051,0.221,0.201,28,85.408,22.611,62.797,343.612,21.652,3.891,0.678,0.821,17.889,3.556,4,1,34.615,3.743,11.136,0.747
P46939-6,0.656,130,0.046,0.251,0.088,96,276.936,133.228,143.708,948.336,31.967,3.949,0.47,0.625,11.545,3.909,14,0,38.983,7.974,20.452,0.721
P46939-7,0.605,116,-0.093,0.376,0.184,68,230.772,68.95,161.822,747.911,31.07,4.059,0.507,0.632,20.8,4.133,9,0,38.636,6.635,19.322,0.764
P46939-8,0.731,130,-0.051,0.261,0.152,67,171.769,68.883,102.886,554.768,46.163,4.076,0.487,0.731,13.4,4.4,4,-1,32.432,4.274,14.753,0.562
P46939-9,0.35,133,-0.031,0.312,0.217,50,195.054,46.515,148.538,711.886,28.743,4.036,0.507,0.7,20.667,4.083,6,0,35.135,5.607,15.927,0.686
P46940,0.521,161,-0.081,0.292,0.107,65,156.313,59.306,97.006,562.589,49.709,4.048,0.509,0.846,42.5,4.643,5,0,21.951,4.336,10.508,0.822
P46952,0.822,14,0.13,0.012,0.002,83,192.867,66.244,126.623,627.933,35.805,3.92,0.466,0.494,18.8,4.4,11,2,41.304,5.57,14.906,0.909
P46976,0.772,23,-0.015,0.074,0.043,56,156.161,25.737,130.424,559.108,40.136,3.925,0.482,0.786,37.923,3.846,4,0,28.571,4.214,12.915,0.864
P46977,0.816,60,-0.017,0.124,0.067,140,341.88,87.961,253.919,1178.892,59.714,3.899,0.449,0.6,44.6,4.76,13,1,30.38,7.337,19.037,0.823
P47211,0.789,30,-0.201,0.217,0.211,196,459.025,137.558,321.467,1551.049,29.227,3.877,0.459,0.449,38.432,4.568,22,5,37.5,9.104,21.661,0.925
P47224,0.348,7,0.33,0.22,0.131,45,126.376,34.596,91.78,406.706,13,3.778,0.509,0.356,25.8,4.5,5,1,38.71,4.102,10.709,0.594
P47710,0.611,7,0.237,0.024,0.007,19,91.125,15.045,76.081,401.997,16.778,4.2,0.743,0.947,50.6,5.8,3,0,27.778,3.34,9.292,0.392
P47712,0.91,67,0.203,0.647,0.269,106,164.546,39.843,124.702,657.927,44.37,3.871,0.415,0.509,34,4.792,12,0,35.938,5.856,13.449,0.775
P47736,0.047,41,-0.374,0.025,0.014,201,648.515,225.152,423.362,2416.925,27.836,4.006,0.486,0.363,18,4.105,24,6,43.651,10.311,26.197,0.761
P47755,0.766,23,0.237,0.057,0.029,53,157.91,22.656,135.254,518.482,39.023,4.027,0.586,0.811,30.5,4.8,5,1,31.579,4.507,11.75,0.841
P47756,0.864,31,0.331,0.036,0.023,64,149.128,39.887,109.241,545.029,37.488,3.894,0.5,0.672,9.867,3.667,7,-1,30.233,4.793,15.304,0.799
P47775,0.981,22,0.108,0.028,0.022,160,305.229,67.9,237.328,1054.051,66.274,4.045,0.497,0.731,53.733,4.267,12,0,26.667,8.148,22.713,0.96
P47804,0.894,19,0.157,0.592,0.117,80,153.774,29.151,124.623,536.62,49.643,3.914,0.466,0.7,45.708,4.083,9,0,29.167,5.275,12.302,0.957
P47813,0.203,12,0.067,0.128,0.019,19,71.624,30.089,41.534,284.023,11,3.833,0.671,0.632,50.375,4.75,3,1,26.087,3.439,6.878,0.876
P47869,0.911,38,0.182,0.519,0.271,31,127.236,6.473,120.763,426.547,22.839,3.864,0.593,1,35.556,3.556,4,0,27.586,5.597,15.054,0.948
P47870,0.112,42,-0.087,0.079,0.069,62,285.243,93.23,192.013,916.853,30.857,4.124,0.511,0.565,12.615,4.154,7,1,39.024,5.612,11.604,0.487
P47871,0.829,35,0.143,0.563,0.305,41,132.814,6.429,126.385,423.016,32.103,3.898,0.575,0.951,70.111,4.333,1,0,19.355,4.428,13.935,0.96
P47872,0.813,35,-0.134,0.699,0.298,93,290.598,76.848,213.75,850.864,35.811,3.892,0.445,0.57,38.04,4.92,15,5,39.655,7.098,16.617,0.551
P47874,0.498,12,0.41,0.352,0.052,39,91.057,37.922,53.136,346.63,19.81,3.77,0.409,0.538,62.778,5.333,4,1,28,3.503,8.505,0.984
P47881,0.976,34,-0.151,0.067,0.035,153,380.06,41.964,338.096,1363.646,73.488,3.918,0.478,0.791,44.32,4.08,8,1,33.721,7.324,19.168,0.718
P47883,0.972,36,-0.072,0.245,0.185,204,426.4,64.686,361.714,1507.396,53.919,3.94,0.505,0.608,30.73,3.649,14,-1,32.432,8.357,19.067,0.669
P47884,0.969,24,-0.358,0.042,0.031,249,488.164,69.711,418.453,1581.858,91.554,3.979,0.461,0.739,53.857,4.486,13,-2,25.439,8.04,19.356,0.743
P47887,0.957,28,-0.023,0.77,0.246,116,369.353,49.331,320.022,1306.131,45.325,4.036,0.536,0.664,52.778,4.407,10,1,32.911,8.268,21.615,0.865
P47888,0.791,30,-0.07,0.72,0.114,63,202.873,12.88,189.993,547.478,45.615,3.902,0.5,0.825,61.154,4.077,2,0,22.5,4.636,11.019,0.759
